rep,model,seed,param,mean,sd,q025,q975,p_gt0,rhat,ess,divergences
2,strong,1014,b1,0.39038182298949997,0.11750259915606974,0.165858979,0.6233230937500001,0.99975,0.999613,3381.08,0
2,strong,1014,b2,0.42142875869374996,0.10218401089321758,0.2218439015,0.62365530725,1.0,1.00044,3915.52,0
2,strong,1014,g1,0.20669035920636675,0.12055737310266298,-0.025061666674999997,0.4438077865,0.95675,1.00156,2993.98,0
2,strong,1014,gamma_M,0.315128797721275,0.1525095978476174,0.018566172725000003,0.615603847,0.98175,1.00039,3431.73,0
2,strong,1014,gamma_Y,0.10917670093733246,0.1562908020453497,-0.19143253500000001,0.4147551627500001,0.757,1.00047,3608.35,0
2,strong,1014,indirect_effect,0.163851346941175,0.0626488653116918,0.058366828674999996,0.3011967395000001,0.99975,1.00095,3932.52,0
2,strong,1014,total_effect,0.3705417060685,0.12677321363047048,0.12112227375,0.624156786,0.9995,1.0011,3430.41,0
2,strong,1014,prop_mediated,0.49785753191400006,0.41027320017999985,0.16159203225,1.1754136875000003,0.99925,1.00059,3165.29,0
3,weak,1021,b1,0.64965151782,0.13681591072652757,0.39445703025,0.9296755100000001,1.0,1.00082,3293.93,0
3,weak,1021,b2,0.382836378942225,0.1590301646306994,0.07675430347500002,0.68840595875,0.993,1.00049,3162.76,0
3,weak,1021,g1,0.2164278262562975,0.19041606022873056,-0.14949239975,0.6062683175,0.87725,1.0011,2468.49,0
3,weak,1021,gamma_M,0.42508477058906746,0.25097477492743564,-0.08617356347499996,0.92534615225,0.9535,0.999945,4806.87,0
3,weak,1021,gamma_Y,0.34334774815135,0.2564789648499167,-0.17360764999999997,0.8491925382500002,0.91075,1.00093,4506.76,0
3,weak,1021,indirect_effect,0.24750061721245,0.11574292792963878,0.04681155595,0.5062445059999999,0.993,1.00088,3555.32,0
3,weak,1021,total_effect,0.463928443433325,0.14976827502373538,0.173920846,0.76060140725,0.99875,1.00157,2888.47,0
3,weak,1021,prop_mediated,0.6135721905095249,0.8269369177794645,0.082813964175,1.6603050350000002,0.99175,1.0011,2822.72,0
3,strong,1021,b1,0.5809259008000001,0.11109365241214696,0.36662629999999996,0.7994088765,1.0,1.00065,3045.61,0
3,strong,1021,b2,0.3933221994584,0.11306874789308012,0.17615530875,0.6137830802500001,0.9995,1.0001,2805.23,0
3,strong,1021,g1,0.1947847961813875,0.12962673654981316,-0.053414476975,0.454409473,0.93575,1.00119,2682.64,0
3,strong,1021,gamma_M,0.301509078738908,0.15977159596989468,-0.0038617185449999892,0.6192349115000001,0.974,1.00027,3471.31,0
3,strong,1021,gamma_Y,0.19323079555524203,0.16139265040409106,-0.12661423849999998,0.50188851025,0.886,1.00055,3745.76,0
3,strong,1021,indirect_effect,0.2271299529082475,0.07624259329499142,0.09516959595,0.39337603275,0.9995,1.00053,2787.4,0
3,strong,1021,total_effect,0.42191474900825,0.12050998162266256,0.18953973400000002,0.66845473875,0.99975,1.00173,3442.93,0
3,strong,1021,prop_mediated,0.5770435017876501,0.42883881165773685,0.21576782725000002,1.2258703750000006,0.99925,1.00065,2559.76,0
4,weak,1028,b1,0.744502379195,0.15305356783469187,0.46644936875000004,1.0616879700000001,1.0,1.0014,3433.84,0
4,weak,1028,b2,0.504770676843625,0.16120076447249462,0.18773709975,0.82873250025,0.9995,0.999662,3226.97,0
4,weak,1028,g1,-0.0029018119629467495,0.20473416345997905,-0.40362309775,0.40715791475000007,0.495,1.00004,3194.12,0
4,weak,1028,gamma_M,0.021112474967803,0.24950914532578233,-0.463920511,0.49827975700000027,0.53575,1.00113,5040.78,0
4,weak,1028,gamma_Y,0.0295703935164615,0.25341794993262046,-0.46806690125,0.5182304737500001,0.5535,1.00163,6144.91,0
4,weak,1028,indirect_effect,0.374559691301225,0.14321578808560365,0.133290256,0.6962799,0.9995,1.00046,3416.2,0
4,weak,1028,total_effect,0.37165787943231,0.16526385974243946,0.04645324042500001,0.7073102955000001,0.98825,1.00159,3943.74,0
