scenario,N,rep,true_b1,true_b2,true_ind,cs_b1,cs_b1_cov,cs_b2,cs_b2_cov,lv_b1,lv_b1_cov,lv_b2,lv_b2_cov,lap_b1,lap_b1_cov,lap_b2,lap_b2_cov,lap_ind,lap_ind_sig
small,86,21,0.3,0.3,0.09,0.1254413667997658,1,0.334356824199619,1,0.31713651079545685,1,0.3344396959361983,1,,,,,,
small,86,22,0.3,0.3,0.09,0.3881787356284158,1,0.21589230283303995,1,0.3492925307732901,1,0.2226706897714536,1,,,,,,
small,86,23,0.3,0.3,0.09,-0.00015700011059255684,0,0.31068255959832836,1,-0.010378794831791716,0,0.3337935555017636,1,,,,,,
small,86,24,0.3,0.3,0.09,0.20120806411933118,1,0.2599942240510477,1,0.34249101076642047,1,0.15662412103761766,1,,,,,,
small,86,25,0.3,0.3,0.09,0.3544166579673098,1,0.12321047816367346,1,0.389127802374981,1,0.19070690336763851,1,,,,,,
small,86,26,0.3,0.3,0.09,0.18767269257932526,1,0.14717053749772505,1,0.2735533611623919,1,0.2318201837441634,1,,,,,,
small,86,27,0.3,0.3,0.09,0.48158003886716566,1,0.3812390744617064,1,0.5921985338288889,0,0.39725080643652827,1,,,,,,
small,86,28,0.3,0.3,0.09,0.34648735889645793,1,0.16308822330927844,1,0.3677746072608778,1,0.2377055728516614,1,,,,,,
small,86,29,0.3,0.3,0.09,0.18635857238696882,1,0.2043620520409991,1,0.3667709964188753,1,0.24535922569281718,1,,,,,,
small,86,30,0.3,0.3,0.09,0.2540982816610922,1,0.3927130099997099,1,0.3067367960098143,1,0.4327151775888136,1,,,,,,
small,86,31,0.3,0.3,0.09,0.25320013673078623,1,0.3848550773873073,1,0.3541131902593062,1,0.3395495368879633,1,,,,,,
small,86,32,0.3,0.3,0.09,0.21753058814123022,1,0.16673636414121382,1,0.22830129723450454,1,0.22942565542443408,1,,,,,,
small,86,33,0.3,0.3,0.09,0.2302555584492276,1,0.10345765695770318,1,0.2804741266863671,1,0.1032551069307329,1,,,,,,
small,86,34,0.3,0.3,0.09,0.321008192643742,1,0.45142216785275147,1,0.18634138186106186,1,0.47799898320089756,0,,,,,,
small,86,35,0.3,0.3,0.09,0.23444215187810585,1,0.2924027943474418,1,0.3901547833718177,1,0.3360301708384157,1,,,,,,
small,86,36,0.3,0.3,0.09,0.3417925797338827,1,0.1808508578338101,1,0.3636111153117397,1,0.2292310144203354,1,,,,,,
small,86,37,0.3,0.3,0.09,0.4122365895617382,1,0.0303617173934693,0,0.4136999810629937,1,0.05247208380061036,0,,,,,,
small,86,38,0.3,0.3,0.09,0.49015692346044165,1,0.2639817399607753,1,0.5399641676619304,0,0.22353167786292513,1,,,,,,
small,86,39,0.3,0.3,0.09,0.3832262236457478,1,0.3373273013403157,1,0.27227657361718194,1,0.47980845569760217,1,,,,,,
small,86,40,0.3,0.3,0.09,0.42775790957077564,1,0.21973554736707784,1,0.48513693450449596,1,0.16445635372763395,1,,,,,,
small,86,41,0.3,0.3,0.09,0.2168903870541124,1,0.33597368641520886,1,0.38784973892833835,1,0.3054955139756708,1,,,,,,
small,86,42,0.3,0.3,0.09,0.23876408231904717,1,0.2221486550915117,1,0.23934036864205735,1,0.188653096756987,1,,,,,,
small,86,43,0.3,0.3,0.09,0.1074003190527126,1,0.24858093080699198,1,0.19182035295412742,1,0.2179669236292709,1,,,,,,
small,86,44,0.3,0.3,0.09,0.2654098236652519,1,0.5637260770258431,0,0.2906773673811537,1,0.5885869883896201,0,,,,,,
small,86,45,0.3,0.3,0.09,0.26716247888651873,1,0.22323905146885373,1,0.15621156059334118,1,0.2529563797709705,1,,,,,,
small,86,46,0.3,0.3,0.09,0.3983022265212148,1,0.31233852469302226,1,0.4041530044605974,1,0.2879106381167267,1,,,,,,
small,86,47,0.3,0.3,0.09,0.3050613078095562,1,0.1921505459471227,1,0.41524248557859245,1,0.21360224500901662,1,,,,,,
small,86,48,0.3,0.3,0.09,0.21853309554821565,1,0.2823866203342121,1,0.20805966886912763,1,0.372519145572964,1,,,,,,
small,86,49,0.3,0.3,0.09,0.5395324129888508,1,0.435670070586102,1,0.5019285745619129,1,0.4147760004259835,1,,,,,,
